authors,weights
Amitabh Behar,5260000
Amity-enmity complex,206000
Amjad Saqib,4850000
Amma Darko,7470000
Amos (prophet),11100000
Amos Bronson Alcott,2250000
Amos Luzzatto,532000
Amos Oz,10500000
Amos Tversky,819000
Amrita Acharia,121000
Amrita Rao,8880000
Amrita Sher-Gil,1080000
Amulya Malladi,2840000
Amusement,402000000
Amy Carmichael,9180000
Amy Coney Barrett,4620000
Amy Goodman,51100000
Amy Hempel,10500000
Amy Klobuchar,5260000
Amy Krouse Rosenthal,686000
Amy Lee,222000000
Amy Lowell,11800000
Amy Schumer,10800000
Amy Sherman-Palladino,1560000
Amy Tan,74800000
Amédée Grab,4370000
An Autobiography (Nehru),2350000
An Enquiry Concerning Human Understanding,7880000
An Essay on Criticism,187000000
An Inconvenient Truth,13900000
An Introduction to Mathematics,920000000
An Wang,942000000
Ana Castillo,71600000
Anacharsis,1250000
Anachronism,16200000
Anacreon,709000
Analogy,630000000
Analysis,7160000000
Anand Gandhi,23400000
Anand Patwardhan,4630000
Ananda Mahidol,120000
Anandamoyi Ma,786000
Anant Priolkar,31800
Anarcho-capitalism,1600000
Anarcho-primitivism,133000
Anastas Mikoyan,3890000
Anatol Lieven,3790000
Anatol Rapoport,3880000
Anatole Broyard,117000
Anatole France,19200000
Anatoly Antonov,3320000
Anatoly Bibilov,21600
Anatoly Karpov,2410000
Anatoly Shariy,10900
Anaxagoras,1860000
Anaximander,721000
Anaïs Nin,8730000
Anbumani Ramadoss,291000
Ancestors,371000000
Anchee Min,374000
Anchorite,917000
Ancient Egypt,267000000
Ancient Greek mathematics,34400000
Ancient Macedonian language,17200000
Ancient Mesopotamian underworld,817000
Ancrene Wisse,142000
Anders Behring Breivik,1910000
Anders Fogh Rasmussen,1020000
Anderson Cooper,154000000
Andre Norton,14100000
Andrea Bowman,10500000
Andrea Dworkin,6730000
Andrea Lewis (writer),17600000
Andrea Meza,14800000
Andrea Pirlo,7260000
Andrea Romano (voice director),6680000
Andreas Karlstadt,7630000
Andreas Mogensen,2240000
Andreas Papandreou,818000
Andrei Codrescu,526000
Andrei Grechko,1990000
Andrei Gromyko,4880000
Andrei Lankov,173000
Andrei Linde,5870000
Andrei Sakharov,672000
Andrei Tarkovsky,1650000
Andrei Zhdanov,261000
Andrejs Dunkels,6250000
Andrew Abbott,24000000
Andrew Bacevich,4560000
Andrew Barr,19500000
Andrew Bernstein,24900000
Andrew Breitbart,4360000
Andrew Carnegie,19000000
Andrew Collier (philosopher),6420000
Andrew Cuomo,10500000
Andrew Dickson White,10300000
Andrew Ferguson,45600000
Andrew Forrest,17900000
Andrew Fox (author),50400000
Andrew Grove,36800000
Andrew H. Van de Ven,8420000
Andrew Hsia,6150000
Andrew Huxley,8650000
Andrew Jackson,209000000
Andrew Johnson,296000000
Andrew Kennedy Hutchison Boyd,3950000
Andrew Lang,52900000
Andrew Lih,6080000
Andrew Linzey,9680000
Andrew Lokenauth,65200
Andrew Marr,8520000
Andrew Marvell,6320000
Andrew Mason,66500000
Andrew Murray (trade unionist),5500000
Andrew Neil,112000000
Andrew S. Tanenbaum,2890000
Andrew Saul,17600000
Andrew Solomon,46200000
Andrew Strominger,4680000
Andrew Sullivan,62400000
Andrew Tate,59900000
Andrew Taylor Still,226000000
Andrew Thomson (Broughton),3440000
Andrew Tobias,23300000
Andrew Tsien Chih-ch'un,192000
Andrew Ure,12100000
Andrew Vachss,749000
Andrew W. Marshall,55900000
Andrew Wiles,6850000
Andrew Yang,188000000
Andrew Zimbalist,6430000
Andrey Gurulyov,10500
Andrey Illarionov,59200
Andrey Voznesensky,48800
Andriy Shevchenko,3600000
Andronovo culture,78900
Andrus Ansip,392000
Andrzej Duda,19000000
Andrzej Majewski,6400000
Andrzej Sapkowski,11200000
André Gide,6340000
André Malraux,7670000
André Maurois,3760000
André Weil,23500000
André-Marie Ampère,5010000
Andrés Manuel López Obrador,18000000
Andrés Montoya,19800000
Andy Gibb,17100000
Andy Goldsworthy,6510000
Andy Hurley,13400000
Andy Kessler (author),6430000
Andy Murray,58100000
Andy Muschietti,1110000
Andy Ngo,10600000
Andy Partridge,8920000
Andy Roddick,6900000
Andy Rooney,10100000
Andy Warhol,44100000
Andy Weir,10700000
Aneirin,8940000
Aneurin Bevan,5610000
Ang Lee,170000000
Angela Carter,102000000
Angela Davis,62400000
Angela Flournoy,8900000
Angela Merkel,25300000
Angela Rasmussen,9030000
Angela Thirkell,928000
Angelina Grimké,3080000
Angelina Jolie,130000000
Angelo Galasso,3710000
Angelo Herndon,10700000
Angelo Mangiarotti,749000
Angelus Silesius,452000
Anger management,178000000
Angie Thomas,31100000
Angkor Wat,23600000
Anguish,61500000
Angus King,37400000
Angus Wilson,18600000
Angus Young,38000000
Ani DiFranco,5670000
Anicetus Bongsu Antonius Sinaga,3350
Anicius Manlius Severinus Boethius,119000
Animal cognition,87600000
Animal testing,2350000000
Animals,9210000000
Animation,6890000000
Anisia Uzeyman,44400
Anita Among,56800000
Anita Brookner,797000
Anita Bryant,13000000
Anita Harding,8720000
Anita Hill,51800000
Anita Loos,4860000
Anita Pallenberg,405000
Anita Sarkeesian,500000
Anjem Choudary,319000
Ann B. Davis,156000000
Ann Coulter,10700000
Ann Druyan,336000
Ann E. Dunwoody,2560000
Ann Eliza Bleecker,742000
Ann Leckie,3740000
Ann Lee,581000000
Ann Richards,49400000
Ann Taylor (poet),11100000
Ann Wagner,56900000
AnnMaria De Mars,1790000
Anna Akhmatova,978000
Anna Bartlett Warner,6330000
Anna Biller,6370000
Anna Brackett,4580000
Anna Comnena,241000
Anna Deavere Smith,873000
Anna Hazare,897000
Anna J. Cooper,47900000
Anna Karenina,20300000
Anna Karina,40400000
Anna Kuznetsova,7150000
Anna Lee,420000000
Anna Letitia Barbauld,242000
Anna Maria Mokgethi,62700
Anna May Wong,27500000
Anna Nicole Smith,44200000
Anna Politkovskaya,412000
Anna Quindlen,3900000
Anna Reid,97400000
Anna Schwartz,18100000
